GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SearchLibrary,edu.eci.cvds.SearchLibrary.Service,BookSearchService,0,40,3,9,0,10,3,5,0,2
SearchLibrary,edu.eci.cvds.SearchLibrary.Controller,SearchController,7,6,0,0,1,3,1,1,1,1
SearchLibrary,edu.eci.cvds.SearchLibrary,SearchLibraryApplication,5,3,0,0,2,1,1,1,1,1
SearchLibrary,edu.eci.cvds.SearchLibrary.Model,Search,0,52,0,0,0,22,0,12,0,12
